			Flux (/cm^2/1E21p.o.t/50MeV)
Bin#	Energy (GeV)	numu		anti-numu	nue		anti-nue
---------------------------------------------------------------------------------
1	 0.00- 0.05	1.74e+10	2.15e+10	3.69e+08	3.99e+07
2	 0.05- 0.10	7.09e+10	6.91e+10	1.74e+09	1.84e+08
3	 0.10- 0.15	1.36e+11	5.44e+10	3.63e+09	3.11e+08
4	 0.15- 0.20	2.13e+11	4.60e+10	5.30e+09	3.88e+08
5	 0.20- 0.25	3.31e+11	4.37e+10	7.04e+09	5.07e+08
6	 0.25- 0.30	4.97e+11	4.31e+10	7.67e+09	5.75e+08
7	 0.30- 0.35	7.08e+11	4.41e+10	8.95e+09	6.38e+08
8	 0.35- 0.40	9.36e+11	4.47e+10	9.13e+09	6.67e+08
9	 0.40- 0.45	1.19e+12	4.49e+10	9.68e+09	6.73e+08
10	 0.45- 0.50	1.49e+12	4.46e+10	9.70e+09	6.64e+08
11	 0.50- 0.55	1.69e+12	4.41e+10	9.49e+09	6.86e+08
12	 0.55- 0.60	1.71e+12	4.36e+10	9.12e+09	6.82e+08
13	 0.60- 0.65	1.60e+12	4.17e+10	8.43e+09	7.03e+08
14	 0.65- 0.70	1.44e+12	4.01e+10	8.20e+09	6.44e+08
15	 0.70- 0.75	1.24e+12	3.74e+10	7.58e+09	6.36e+08
16	 0.75- 0.80	9.84e+11	3.42e+10	6.59e+09	6.61e+08
17	 0.80- 0.85	7.38e+11	3.13e+10	6.44e+09	6.46e+08
18	 0.85- 0.90	5.32e+11	2.91e+10	5.72e+09	6.35e+08
19	 0.90- 0.95	3.91e+11	2.67e+10	5.25e+09	5.77e+08
20	 0.95- 1.00	2.96e+11	2.49e+10	4.50e+09	5.57e+08
21	 1.00- 1.05	2.34e+11	2.34e+10	4.03e+09	5.32e+08
22	 1.05- 1.10	1.93e+11	2.17e+10	3.76e+09	5.40e+08
23	 1.10- 1.15	1.64e+11	2.06e+10	3.47e+09	5.04e+08
24	 1.15- 1.20	1.44e+11	1.87e+10	3.12e+09	5.09e+08
25	 1.20- 1.25	1.23e+11	1.74e+10	2.77e+09	4.80e+08
26	 1.25- 1.30	1.07e+11	1.65e+10	2.63e+09	4.96e+08
27	 1.30- 1.35	9.71e+10	1.56e+10	2.44e+09	4.38e+08
28	 1.35- 1.40	8.54e+10	1.39e+10	2.23e+09	4.79e+08
