			Flux (/cm^2/1E21p.o.t/50MeV)
Bin#	Energy (GeV)	numu		anti-numu	nue		anti-nue
---------------------------------------------------------------------------------
1	 0.00- 0.05	1.30e+04	1.62e+04	1.97e+02	3.26e+01
2	 0.05- 0.10	5.43e+04	5.67e+04	9.91e+02	1.24e+02
3	 0.10- 0.15	1.06e+05	4.63e+04	2.17e+03	2.22e+02
4	 0.15- 0.20	1.66e+05	3.42e+04	3.20e+03	2.95e+02
5	 0.20- 0.25	2.50e+05	3.09e+04	4.07e+03	3.63e+02
6	 0.25- 0.30	3.43e+05	2.97e+04	4.52e+03	4.19e+02
7	 0.30- 0.35	4.46e+05	3.01e+04	5.15e+03	4.64e+02
8	 0.35- 0.40	5.36e+05	3.06e+04	5.27e+03	4.92e+02
9	 0.40- 0.45	6.53e+05	3.12e+04	5.37e+03	5.32e+02
10	 0.45- 0.50	8.15e+05	3.09e+04	5.39e+03	5.43e+02
11	 0.50- 0.55	9.84e+05	3.03e+04	5.30e+03	5.17e+02
12	 0.55- 0.60	1.07e+06	3.03e+04	5.13e+03	5.56e+02
13	 0.60- 0.65	1.12e+06	3.04e+04	4.88e+03	5.47e+02
14	 0.65- 0.70	1.02e+06	2.87e+04	4.61e+03	5.29e+02
15	 0.70- 0.75	7.48e+05	2.67e+04	4.34e+03	5.14e+02
16	 0.75- 0.80	4.82e+05	2.40e+04	4.20e+03	4.89e+02
17	 0.80- 0.85	3.16e+05	2.21e+04	3.71e+03	4.88e+02
18	 0.85- 0.90	2.30e+05	2.13e+04	3.43e+03	4.79e+02
19	 0.90- 0.95	1.75e+05	1.99e+04	3.19e+03	4.73e+02
20	 0.95- 1.00	1.40e+05	1.82e+04	2.79e+03	4.68e+02
21	 1.00- 1.05	1.17e+05	1.69e+04	2.67e+03	4.33e+02
22	 1.05- 1.10	9.84e+04	1.55e+04	2.34e+03	4.25e+02
23	 1.10- 1.15	8.52e+04	1.44e+04	2.20e+03	3.98e+02
24	 1.15- 1.20	7.53e+04	1.32e+04	1.95e+03	3.94e+02
25	 1.20- 1.25	6.62e+04	1.24e+04	1.81e+03	4.00e+02
26	 1.25- 1.30	5.93e+04	1.13e+04	1.59e+03	3.76e+02
27	 1.30- 1.35	5.35e+04	1.07e+04	1.56e+03	3.81e+02
28	 1.35- 1.40	4.87e+04	9.98e+03	1.44e+03	3.48e+02
29	 1.40- 1.45	4.41e+04	8.95e+03	1.35e+03	3.43e+02
30	 1.45- 1.50	4.03e+04	8.32e+03	1.35e+03	3.55e+02
31	 1.50- 1.55	3.73e+04	8.00e+03	1.22e+03	3.31e+02
32	 1.55- 1.60	3.44e+04	7.52e+03	1.22e+03	3.21e+02
33	 1.60- 1.65	3.21e+04	6.99e+03	1.17e+03	3.18e+02
34	 1.65- 1.70	2.96e+04	6.67e+03	1.16e+03	2.93e+02
35	 1.70- 1.75	2.75e+04	6.14e+03	1.12e+03	2.86e+02
36	 1.75- 1.80	2.55e+04	5.88e+03	1.04e+03	2.79e+02
37	 1.80- 1.85	2.41e+04	6.01e+03	1.04e+03	2.68e+02
38	 1.85- 1.90	2.28e+04	5.46e+03	1.00e+03	2.55e+02
39	 1.90- 1.95	2.14e+04	4.89e+03	9.91e+02	2.64e+02
40	 1.95- 2.00	1.98e+04	4.65e+03	9.94e+02	2.61e+02
41	 2.00- 2.05	1.87e+04	4.44e+03	9.70e+02	2.36e+02
42	 2.05- 2.10	1.83e+04	4.22e+03	9.20e+02	2.33e+02
43	 2.10- 2.15	1.77e+04	4.02e+03	9.09e+02	2.31e+02
44	 2.15- 2.20	1.63e+04	3.87e+03	8.77e+02	2.22e+02
45	 2.20- 2.25	1.60e+04	3.76e+03	8.70e+02	2.14e+02
46	 2.25- 2.30	1.47e+04	3.25e+03	8.41e+02	2.08e+02
47	 2.30- 2.35	1.43e+04	3.35e+03	8.23e+02	2.10e+02
48	 2.35- 2.40	1.37e+04	2.89e+03	8.18e+02	1.94e+02
49	 2.40- 2.45	1.37e+04	2.95e+03	7.89e+02	1.94e+02
50	 2.45- 2.50	1.28e+04	2.72e+03	7.76e+02	1.88e+02
51	 2.50- 2.55	1.25e+04	2.59e+03	7.43e+02	1.92e+02
52	 2.55- 2.60	1.23e+04	2.56e+03	7.19e+02	1.82e+02
53	 2.60- 2.65	1.15e+04	2.47e+03	7.02e+02	1.70e+02
54	 2.65- 2.70	1.13e+04	2.23e+03	7.04e+02	1.65e+02
55	 2.70- 2.75	1.11e+04	2.09e+03	6.66e+02	1.63e+02
56	 2.75- 2.80	1.11e+04	2.04e+03	6.39e+02	1.56e+02
57	 2.80- 2.85	1.08e+04	1.84e+03	6.36e+02	1.55e+02
58	 2.85- 2.90	1.05e+04	1.82e+03	6.00e+02	1.42e+02
59	 2.90- 2.95	1.07e+04	1.92e+03	5.85e+02	1.42e+02
60	 2.95- 3.00	1.04e+04	1.87e+03	5.71e+02	1.40e+02
61	 3.00- 3.05	1.01e+04	1.70e+03	5.41e+02	1.32e+02
62	 3.05- 3.10	9.92e+03	1.42e+03	5.32e+02	1.27e+02
63	 3.10- 3.15	9.52e+03	1.50e+03	5.48e+02	1.22e+02
64	 3.15- 3.20	9.55e+03	1.34e+03	5.04e+02	1.25e+02
65	 3.20- 3.25	9.28e+03	1.29e+03	4.74e+02	1.16e+02
66	 3.25- 3.30	9.01e+03	1.40e+03	4.72e+02	1.19e+02
67	 3.30- 3.35	9.06e+03	1.17e+03	4.40e+02	1.09e+02
68	 3.35- 3.40	8.90e+03	1.14e+03	4.27e+02	1.09e+02
69	 3.40- 3.45	8.82e+03	1.27e+03	4.15e+02	9.99e+01
70	 3.45- 3.50	8.82e+03	1.14e+03	4.00e+02	1.04e+02
71	 3.50- 3.55	8.57e+03	1.05e+03	3.84e+02	9.60e+01
72	 3.55- 3.60	8.51e+03	1.01e+03	3.75e+02	9.87e+01
73	 3.60- 3.65	8.31e+03	9.51e+02	3.62e+02	9.42e+01
74	 3.65- 3.70	8.37e+03	9.51e+02	3.43e+02	8.74e+01
75	 3.70- 3.75	8.19e+03	9.44e+02	3.32e+02	8.81e+01
76	 3.75- 3.80	8.03e+03	8.13e+02	3.18e+02	8.59e+01
77	 3.80- 3.85	7.93e+03	9.22e+02	3.08e+02	8.17e+01
78	 3.85- 3.90	8.06e+03	8.24e+02	3.02e+02	8.28e+01
